@relation books

@attribute name string
@attribute publisher string
@attribute author string
@attribute priceOther numeric
@attribute priceSite numeric
@attribute pageCount numeric
@attribute saleCount numeric
@attribute genre string
@attribute point numeric
@attribute votes numeric

@data
Acemi Eğitimi,CAN YAYINLARI KAMPANYA,Can Kozanoğlu,24.5,12.25,256,598, Anı (hatırat),4,55
Bir Kadının Yaşamından Yirmi Dört Saat,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Stefan Zweig,8.0,5.2,80,29839, Almanca,5,3208
Kesik Hava,CAN YAYINLARI KAMPANYA,Murat Yalçın,17.0,7.65,160,492, Hikaye (yerli),4,40
Küçük Prens,CAN ÇOCUK YAYINLARI,Antoine De Saint Exupery,9.5,6.17,112,876616, Fransızca,5,9191
Palto (Cep Boy),KARBON KİTAPLAR,Nikolay Vasilievich Gogol,7.0,2.9,58,731, Hikaye (çeviri),5,28
Kürk Mantolu Madonna,KARBON KİTAPLAR,Sabahattin Ali,9.26,5.33,177,7101, Roman (yerli),5,461
Tutunamayanlar / Bütün Eserleri 1,İLETİŞİM YAYINLARI,Oğuz Atay,50.0,33.0,724,38208, Roman (yerli),5,4175
Gurur ve Önyargı (Ciltsiz),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Jane Austen,20.0,13.0,424,25455, İngilizce,5,2802
Sofie'nin Dünyası Felsefe Tarihi Üzerine Bir Roman,PAN YAYINCILIK,Jostein Gaarder,40.0,25.19,591,22447, Norveççe,5,1861
Kızıl Elma (Cep Boy),KARBON KİTAPLAR,Ziya Gökalp,7.0,2.9,164,606, Şiir (yerli),5,19
Genç Werther'in Acıları (Ciltsiz),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Johann Wolfgang Goethe,12.0,7.8,126,13711, Almanca,5,1605
Görünmez Adam (Cep Boy),KARBON KİTAPLAR,Herbert George Wells,7.0,2.9,212,793, Roman (çeviri),5,38
İllegal Düzenin İmparatorluğu Baronlar,LOPUS,Ahmet Han,28.0,16.8,280,1081,,5,13
Dedemin Bakkalı,TAZE KİTAP,Şermin Yaşar,35.0,22.05,200,31816, Hikaye,5,2057
Oblomov (Ciltsiz),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,İvan Gonçarov,26.0,16.9,632,10031, Rusça,5,1317
Harry Potter ve Azkaban Tutsağı,YAPI KREDİ YAYINLARI,J. K. Rowling,35.0,21.0,396,161206, İngilizce,5,1490
Üç Tarz-ı Siyaset,KARBON KİTAPLAR,Yusuf Akçura,9.0,5.85,112,153, Siyasal Tarih,4,7
Güneşi Uyandıralım,CAN YAYINLARI,Jose Mauro De Vasconcelos,29.5,19.17,272,280586, Portekizce,5,2606
Küçük Kara Balık (Cep Boy),KARBON KİTAPLAR,Samed Behrengi,7.0,2.9,48,740, Hikaye,5,22
Sonsuzluğun Sonu,MONOKL YAYINLARI,Isaac Asimov,27.0,16.2,240,2223, İngilizce,5,243
Kadın Beyni Erkek Beyni,ELMA YAYINEVİ,Serkan Karaismailoğlu,29.0,18.65,224,6493, Kişisel Gelişim,5,437
Sen Olmadan Ben,PEGASUS YAYINLARI,Kelly Rimmer,36.94,21.0,336,756, Roman (çeviri),5,38
Göl,PEGASUS YAYINLARI,Karin Fossum,32.41,20.09,304,740, Polisiye,4,26
Altıncı Koğuş (Cep Boy),KARBON KİTAPLAR,Anton Çehov,7.0,2.9,90,522, Hikaye (çeviri),5,15
Görmek,KIRMIZI KEDİ YAYINEVİ,Jose Saramago,30.0,19.5,324,11374, Roman (çeviri),5,878
İnsanın Anlam Arayışı,OKUYAN US YAYIN,Viktor Emil Frankl,32.0,19.18,170,14423, Genel,5,801
Kur’an ile Aldatmak & İslam’a Kurulan Pusu,KIRMIZI KEDİ YAYINEVİ,Cemil Kılıç,30.0,19.5,272,592, Diğer,4,35
Monsieur ya da Karanlıklar Prensi / Avignon Beşlisi 1,CAN YAYINLARI KAMPANYA,Lawrence Durrell,31.0,13.95,320,377, İngilizce,5,33
Üç Kedi Bir Dilek,YAPI KREDİ YAYINLARI,Sara Şahinkanat,24.0,14.44,32,382107, Hikaye,5,1285
Dönüşüm (Cep Boy),KARBON KİTAPLAR,Franz Kafka,7.0,2.9,78,695, Roman (çeviri),5,24
Denemeler / Montaigne (Ciltsiz),TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,Michel de Montaigne,12.96,8.42,314,15177, Fransızca,5,1380
